id,category,category_codes,mode,profile,status,evidence
D1-dlms-push-instant,D1,6,dlms-push,instant,diagnostic-rtc-failed-normal-route-unverified,"Latest HES PID 129983: raw 1bc1c689-4d78-4f26-b853-aefed91b4e0f. Persisted ID 40115507; encoded RTC 2026-09-13T15:26:40 with deviation 0, stored 2026-09-13T09:56:40 (330 minutes early)."
D1-dlms-push-block,D1,6,dlms-push,block,diagnostic-rtc-failed-normal-route-unverified,"Latest HES PID 129983: raw f7b09814-111d-4111-8e5b-04a9531494d8. Persisted ID 39593468; encoded RTC 2026-09-13T15:30:00 with deviation 0, stored 2026-09-13T10:00:00 (330 minutes early)."
D1-dlms-push-daily,D1,6,dlms-push,daily,diagnostic-validation-failed-normal-route-unverified,Latest HES PID 129983: raw 955574f8-2e4e-4ad3-b9ea-89b801641a86. Daily energy validation rejected import kWh 4684814.453 and import kVAh 4883597.167; no profile row. Physical wire capture subsequently established client-export scaling by1000. Local D1 master now uses three wire-value Daily rows with unchanged model; XML/pull/push numeric parity regression passes. HES retest pending active consumer.
D1-dlms-push-bill,D1,6,dlms-push,bill,unsupported-by-current-selected-XML,"Session advertises Instant, Block, Daily and ESW only."
D1-dlms-push-events,D1,6,dlms-push,events,unsupported-by-current-selected-XML,"Session advertises Instant, Block, Daily and ESW only."
D1-dlms-push-esw,D1,6,dlms-push,esw,diagnostic-rtc-failed-normal-route-unverified,"Latest HES PID 129983: raw df38b1a3-58c4-4e99-b848-16ef77ea2393. Persisted ID 3658978; encoded RTC 2026-09-13T15:26:40 with deviation 0, stored 2026-09-13T09:56:40 (330 minutes early)."
D1-dlms-push-getrtc,D1,6,dlms-push,getrtc,not-applicable,User clarified RTC push is custom Wirepas only; GetRTC pull remains required.
D1-custom-push-instant,D1,6,custom-push,instant,diagnostic-values-pass-normal-route-unverified,Latest HES PID 129983: exact raw bytes and all configured values match; persisted IDs 40051043. Custom encoder not deployed to MAYA; normal-topic routing unverified.
D1-custom-push-block,D1,6,custom-push,block,diagnostic-values-pass-normal-route-unverified,Latest HES PID 129983: exact raw bytes and all configured values match; persisted IDs 39563268. Custom encoder not deployed to MAYA; normal-topic routing unverified.
D1-custom-push-daily,D1,6,custom-push,daily,diagnostic-values-pass-normal-route-unverified,Latest HES PID 129983: exact raw bytes and all configured values match; persisted IDs 2117590. Custom encoder not deployed to MAYA; normal-topic routing unverified.
D1-custom-push-bill,D1,6,custom-push,bill,diagnostic-values-pass-normal-route-unverified,Latest HES PID 129983: exact raw bytes and all configured values match; persisted IDs 378981. Custom encoder not deployed to MAYA; normal-topic routing unverified.
D1-custom-push-events,D1,6,custom-push,events,diagnostic-values-pass-normal-route-unverified,"Latest HES PID 129983: exact raw bytes and all configured values match; persisted IDs 4285884, 4285882, 4285881, 4285883, 4285886, 4285887, 4285885. Custom encoder not deployed to MAYA; normal-topic routing unverified."
D1-custom-push-esw,D1,6,custom-push,esw,diagnostic-values-pass-normal-route-unverified,Latest HES PID 129983: exact raw bytes and all configured values match; persisted IDs 3639314. Custom encoder not deployed to MAYA; normal-topic routing unverified.
D1-custom-push-getrtc,D1,6,custom-push,getrtc,diagnostic-values-pass-normal-route-unverified,Latest HES PID 129983: exact raw bytes and all configured values match; persisted IDs 809187. Custom encoder not deployed to MAYA; normal-topic routing unverified.
D1-dlms-pull-instant,D1,6,dlms-pull,instant,live-protocol-pass-persistence-failed,"98932983/frame10004 completed one try19:32:22.667849UTC.14observedmessages, seven requests/seven responses, no duplicates while EQA was in authorized deployment backup. HES rejected energy values from existingSAtemplate; no Instant row. Corrected D1master is deployed but not selected for this batch."
D1-dlms-pull-block,D1,6,dlms-pull,block,local-only-not-HES-verified,Public DLMS exchange returned a nonempty response; no HES command lifecycle or persistence verified.
D1-dlms-pull-daily,D1,6,dlms-pull,daily,local-only-not-HES-verified,Public DLMS exchange returned a nonempty response; no HES command lifecycle or persistence verified.
